timestamp,src_ip,dst_ip,dst_port,protocol,size_bytes,flag
2026-09-09T09:00:01,10.0.0.5,10.0.0.1,443,TCP,512,
2026-09-09T09:00:02,10.0.0.5,10.0.0.1,80,TCP,480,
2026-09-09T09:00:03,192.168.1.44,10.0.0.9,22,TCP,120,SYN
2026-09-09T09:00:03,192.168.1.44,10.0.0.9,23,TCP,120,SYN
2026-09-09T09:00:03,192.168.1.44,10.0.0.9,25,TCP,120,SYN
2026-09-09T09:00:04,192.168.1.44,10.0.0.9,53,TCP,120,SYN
2026-09-09T09:00:04,192.168.1.44,10.0.0.9,110,TCP,120,SYN
2026-09-09T09:00:04,192.168.1.44,10.0.0.9,143,TCP,120,SYN
2026-09-09T09:00:05,192.168.1.44,10.0.0.9,443,TCP,120,SYN
2026-09-09T09:05:00,203.0.113.9,10.0.0.20,22,TCP,300,AUTH_FAIL
2026-09-09T09:05:04,203.0.113.9,10.0.0.20,22,TCP,300,AUTH_FAIL
2026-09-09T09:05:08,203.0.113.9,10.0.0.20,22,TCP,300,AUTH_FAIL
2026-09-09T09:05:12,203.0.113.9,10.0.0.20,22,TCP,300,AUTH_FAIL
2026-09-09T09:10:00,10.0.0.12,10.0.0.1,443,TCP,9800,
2026-09-09T09:12:00,10.0.0.18,198.51.100.7,4444,TCP,640,
2026-09-09T09:15:00,10.0.0.22,10.0.0.1,53,UDP,90,
